DateG,DateH,Day,City,Holiday Name,Type of Public Holiday,School,Cloudy,Widespread Dust,Blowing Dust,Fog,Mist,Rain,Comments,Match,Event,Effect on City,Link Source,Pay Day,days till next payday,days after payday,days after school,days before school,Semesters
09/03/2024,28/08/1445,Saturday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,20,22,7,93,
10/03/2024,29/08/1445,Sunday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Liverpool FC vs Manchester City FC,Preimer League,FALSE,FALSE,FALSE,FALSE,19,21,8,92,
11/03/2024,1/9/1445,Monday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Ramadan is a period of prayer, reflection and fasting for many Muslims worldwide. It is the ninth month in the Islamic calendar.",UEFA CL,FALSE,FALSE,FALSE,FALSE,18,20,9,91,
12/03/2024,2/9/1445,Tuesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Al Ittihad vs Al Nassr,"UEFA CL, KSA League",FALSE,FALSE,FALSE,FALSE,17,19,10,90,
13/03/2024,3/9/1445,Wednesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,16,18,11,89,
14/03/2024,4/9/1445,Thursday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,15,17,12,88,
15/03/2024,5/9/1445,Friday,Riyadh,No Holiday,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,14,16,13,87,
16/03/2024,6/9/1445,Saturday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,13,15,14,86,
17/03/2024,7/9/1445,Sunday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,La liga,FALSE,FALSE,FALSE,FALSE,12,14,15,85,
18/03/2024,8/9/1445,Monday,Riyadh,No Holiday,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,11,13,16,84,
19/03/2024,9/9/1445,Tuesday,Riyadh,No Holiday,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,10,12,17,83,
20/03/2024,10/9/1445,Wednesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,9,11,18,82,
21/03/2024,11/9/1445,Thursday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,World Cup,FALSE,FALSE,FALSE,FALSE,8,10,19,81,
22/03/2024,12/9/1445,Friday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,7,9,20,80,
23/03/2024,13/09/1445,Saturday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,March Equinox in Saudi Arabia (Riyadh),,FALSE,FALSE,FALSE,FALSE,6,8,21,79,
24/03/2024,14/09/1445,Sunday,Riyadh,No Holiday,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,5,7,22,78,
25/03/2024,15/09/1445,Monday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,4,6,23,77,
26/03/2024,16/09/1445,Tuesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,World Cup,FALSE,FALSE,FALSE,FALSE,3,5,24,76,
27/03/2024,17/09/1445,Wednesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,31,4,25,75,
28/03/2024,18/09/1445,Thursday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,30,3,26,74,
29/03/2024,19/09/1445,Friday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,29,2,27,73,
30/03/2024,20/09/1445,Saturday,Riyadh,No Holiday,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Al Shabab vs. Al Hilal,Score: 3:4, Audience: 12,087, King Fahd Staduim",KSA League,FALSE,FALSE,FALSE,FALSE,28,1,28,72,
31/03/2024,21/09/1445,Sunday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Manchester City FC vs Arsenal FC,Preimer League,FALSE,FALSE,FALSE,FALSE,27,0,29,71,
01/04/2024,22/09/1445,Monday,Riyadh,No Holiday,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,26,29,30,70,
02/04/2024,23/09/1445,Tuesday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,25,28,31,69,
03/04/2024,24/09/1445,Wednesday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,24,27,32,68,
04/04/2024,25/09/1445,Thursday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chelsea FC vs Manchester United FC,Preimer League,FALSE,FALSE,FALSE,FALSE,23,26,33,67,
05/04/2024,26/09/1445,Friday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,22,25,34,66,
06/04/2024,27/09/1445,Saturday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,21,24,35,65,
07/04/2024,28/09/1445,Sunday,Riyadh,No Holiday,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Manchester United FC vs Liverpool FC,Preimer League,FALSE,FALSE,FALSE,FALSE,20,23,36,64,
08/04/2024,29/09/1445,Monday,Riyadh,Eid al-Fitr Holiday,Eid al-Fitr Holiday is a national holiday in Saudi Arabia,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Al Hilal vs Al Nassr,KSA League,FALSE,FALSE,FALSE,FALSE,19,22,37,63,
09/04/2024,30/09/1445,Tuesday,Riyadh,Eid al-Fitr Holiday,Eid al-Fitr Holiday is a national holiday in Saudi Arabia,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,UEFA CL,FALSE,FALSE,FALSE,FALSE,18,21,38,62,
10/04/2024,1/10/1445,Wednesday,Riyadh,Eid al-Fitr Holiday,Eid al-Fitr Holiday is a national holiday in Saudi Arabia,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,UEFA CL,FALSE,FALSE,FALSE,FALSE,17,20,39,61,
11/04/2024,2/10/1445,Thursday,Riyadh,Eid al-Fitr Holiday,Eid al-Fitr Holiday is a national holiday in Saudi Arabia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Al Ittihad vs Al Nassr,KSA League,FALSE,FALSE,FALSE,FALSE,16,19,40,60,
12/04/2024,3/10/1445,Friday,Riyadh,Eid al-Fitr Holiday,Eid al-Fitr Holiday is a national holiday in Saudi Arabia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,15,18,41,59,
13/04/2024,4/10/1445,Saturday,Riyadh,Eid al-Fitr Holiday,"Eid al-Fitr is a holiday to mark the end of the Islamic month of Ramadan, during which Muslims fast during the hours of daylight.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,14,17,42,58,
14/04/2024,5/10/1445,Sunday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,13,16,43,57,
15/04/2024,6/10/1445,Monday,Riyadh,No Holiday,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,12,15,44,56,
16/04/2024,7/10/1445,Tuesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,UEFA CL,FALSE,FALSE,FALSE,FALSE,11,14,45,55,
17/04/2024,8/10/1445,Wednesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,UEFA CL,FALSE,FALSE,FALSE,FALSE,10,13,46,54,
18/04/2024,9/10/1445,Thursday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,9,12,47,53,
